"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\client\home\widgets\agent_details_tab_bar.dart", "Dart", 124, 0, 3, 127
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\client\home\widgets\bookmarked_listing_widget.dart", "Dart", 116, 0, 4, 120
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\client\home\widgets\listing_widget.dart", "Dart", 143, 0, 5, 148
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\client\home\widgets\nearby_listings_widget.dart", "Dart", 73, 0, 3, 76
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\client\search\controller\search_filter_ctrl.dart", "Dart", 39, 0, 7, 46
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\client\search\search.dart", "Dart", 56, 0, 6, 62
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\client\search\widgets\modal_sheet.dart", "Dart", 405, 0, 7, 412
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\client\search\widgets\search_chips.dart", "Dart", 87, 0, 3, 90
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\shared\appointments\views\appointments.dart", "Dart", 9, 0, 2, 11
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\shared\profile\views\account.dart", "Dart", 33, 0, 3, 36
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\shared\profile\views\edit_profile.dart", "Dart", 224, 0, 12, 236
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\shared\profile\views\profile.dart", "Dart", 158, 0, 7, 165
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\shared\profile\widgets\contact_details.dart", "Dart", 27, 0, 4, 31
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\shared\profile\widgets\profile_card.dart", "Dart", 24, 0, 3, 27
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\onboarding\view\onboarding.dart", "Dart", 90, 0, 10, 100
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\user setup\controller\user_data_controller.dart", "Dart", 79, 3, 13, 95
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\user setup\repository\user_data_repository.dart", "Dart", 140, 0, 16, 156
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\user setup\views\user_data_setup.dart", "Dart", 172, 6, 9, 187
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\user setup\views\user_setup.dart", "Dart", 101, 0, 9, 110
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\user setup\views\user_type.dart", "Dart", 75, 0, 6, 81
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\user setup\widgets\user_type_widget.dart", "Dart", 54, 1, 5, 60
"c:\Users\USER\Documents\flutter projs\home_quest\lib\firebase_options.dart", "Dart", 48, 12, 3, 63
"c:\Users\USER\Documents\flutter projs\home_quest\lib\main.dart", "Dart", 70, 0, 4, 74
"c:\Users\USER\Documents\flutter projs\home_quest\lib\models\agent.dart", "Dart", 90, 1, 17, 108
"c:\Users\USER\Documents\flutter projs\home_quest\lib\models\agent_stat.dart", "Dart", 11, 1, 3, 15
"c:\Users\USER\Documents\flutter projs\home_quest\lib\models\appointment.dart", "Dart", 55, 2, 6, 63
